dataset,VUS-PR,VUS-ROC,AUC-PR,AUC-ROC,Standard-F1,PA-F1,MSE,MAE
109_SVDB_id_26_Medical_tr_1038_1st_1138,0.240177,0.707952,0.167239,0.596963,0.255989,0.612441,0.683122,0.522964
091_SVDB_id_8_Medical_tr_500_1st_126,0.424644,0.883778,0.380634,0.832833,0.416028,0.765522,0.488812,0.385122
118_TAO_id_3_Environment_tr_500_1st_7,0.323106,0.666782,0.051773,0.516290,0.096310,0.095734,0.216866,0.352843
093_SVDB_id_10_Medical_tr_500_1st_37,0.200869,0.699093,0.122714,0.589102,0.172061,0.775266,0.543463,0.459195
111_SVDB_id_28_Medical_tr_1791_1st_1891,0.307538,0.818167,0.182237,0.699809,0.309421,0.855725,0.615686,0.434805
123_TAO_id_8_Environment_tr_500_1st_62,0.831352,0.930310,0.048759,0.496845,0.093375,0.093210,0.176926,0.318248
097_SVDB_id_14_Medical_tr_1031_1st_1131,0.231691,0.723800,0.157832,0.618532,0.314923,0.642289,0.812062,0.574663
124_TAO_id_9_Environment_tr_500_1st_1,0.800246,0.922256,0.048116,0.497602,0.093840,0.094283,0.115089,0.255940
126_TAO_id_11_Environment_tr_500_1st_7,0.963050,0.982669,0.105406,0.520360,0.175907,0.177428,0.157362,0.301673
125_TAO_id_10_Environment_tr_500_1st_9,0.961954,0.982715,0.094279,0.504760,0.172735,0.174806,0.186513,0.333801
122_TAO_id_7_Environment_tr_500_1st_19,0.721567,0.875893,0.093800,0.503928,0.173903,0.174662,0.200063,0.340190
088_SVDB_id_5_Medical_tr_500_1st_168,0.188692,0.673471,0.146896,0.589471,0.197544,0.863344,1.096238,0.658948
128_TAO_id_13_Environment_tr_500_1st_7,0.832605,0.918185,0.144599,0.507925,0.247428,0.247428,0.193653,0.341228
119_TAO_id_4_Environment_tr_500_1st_1,0.912030,0.963595,0.092620,0.479889,0.172743,0.172945,0.147214,0.295593
117_TAO_id_2_Environment_tr_500_1st_1,0.665379,0.834073,0.135298,0.487474,0.245665,0.247042,0.121899,0.268705
120_TAO_id_5_Environment_tr_500_1st_3,0.962151,0.983277,0.097531,0.510388,0.175040,0.177211,0.229309,0.375258
172_SWaT_id_2_Sensor_tr_23700_1st_23800,0.115062,0.374274,0.118027,0.363286,0.222726,0.855429,2.224120,0.105102
121_TAO_id_6_Environment_tr_500_1st_7,0.828087,0.913368,0.138275,0.499794,0.248198,0.249342,0.184227,0.330006
