dataset,VUS-PR,VUS-ROC,AUC-PR,AUC-ROC,Standard-F1,PA-F1,MSE,MAE
030_MITDB_id_12_Medical_tr_50000_1st_84572,0.065993,0.660206,0.046413,0.567612,0.099012,0.557583,0.045723,0.145111
093_SVDB_id_10_Medical_tr_500_1st_37,0.176510,0.704790,0.119655,0.597667,0.174846,0.754584,0.534264,0.445242
092_SVDB_id_9_Medical_tr_2674_1st_2774,0.610137,0.954823,0.546483,0.930714,0.660664,0.876282,0.597322,0.428486
086_SVDB_id_3_Medical_tr_533_1st_633,0.164481,0.739660,0.102713,0.634848,0.182614,0.636354,0.571236,0.442285
116_TAO_id_1_Environment_tr_500_1st_3,0.822953,0.935854,0.053268,0.496861,0.095323,0.095449,0.107632,0.256758
109_SVDB_id_26_Medical_tr_1038_1st_1138,0.216494,0.701929,0.151690,0.592825,0.232833,0.589117,0.774824,0.570974
127_TAO_id_12_Environment_tr_500_1st_24,0.829976,0.935323,0.049856,0.492456,0.092654,0.092760,0.075463,0.201948
091_SVDB_id_8_Medical_tr_500_1st_126,0.394443,0.872116,0.360886,0.821292,0.394579,0.653737,0.632325,0.444064
118_TAO_id_3_Environment_tr_500_1st_7,0.323695,0.691654,0.049495,0.499820,0.094613,0.094263,0.151625,0.297282
097_SVDB_id_14_Medical_tr_1031_1st_1131,0.228846,0.711359,0.153758,0.595377,0.270199,0.811096,0.909071,0.590410
087_SVDB_id_4_Medical_tr_5421_1st_5521,0.312728,0.826133,0.180471,0.714346,0.252339,0.905346,0.165088,0.225853
111_SVDB_id_28_Medical_tr_1791_1st_1891,0.209201,0.759021,0.136850,0.649340,0.244047,0.722963,0.821658,0.503131
124_TAO_id_9_Environment_tr_500_1st_1,0.815031,0.928214,0.054055,0.501411,0.092988,0.093676,0.042911,0.149387
123_TAO_id_8_Environment_tr_500_1st_62,0.830511,0.937518,0.047108,0.485895,0.093689,0.093154,0.160091,0.303981
126_TAO_id_11_Environment_tr_500_1st_7,0.960078,0.983634,0.101978,0.516390,0.177906,0.181754,0.062161,0.188743
125_TAO_id_10_Environment_tr_500_1st_9,0.960223,0.983799,0.095837,0.506931,0.173055,0.175216,0.086458,0.228291
122_TAO_id_7_Environment_tr_500_1st_19,0.722279,0.882235,0.095248,0.498251,0.173953,0.175293,0.145957,0.307292
119_TAO_id_4_Environment_tr_500_1st_1,0.907835,0.964737,0.095455,0.489634,0.172680,0.172761,0.048036,0.166443
128_TAO_id_13_Environment_tr_500_1st_7,0.829410,0.917941,0.144765,0.513874,0.249275,0.254590,0.123845,0.281025
088_SVDB_id_5_Medical_tr_500_1st_168,0.149746,0.639347,0.115545,0.555918,0.193687,0.800038,1.007440,0.613833
117_TAO_id_2_Environment_tr_500_1st_1,0.661456,0.842093,0.136161,0.493377,0.244885,0.245365,0.110158,0.268468
120_TAO_id_5_Environment_tr_500_1st_3,0.961017,0.985220,0.100422,0.514387,0.175675,0.177735,0.069725,0.200492
121_TAO_id_6_Environment_tr_500_1st_7,0.829641,0.917888,0.142939,0.506140,0.248364,0.251289,0.099964,0.248704
172_SWaT_id_2_Sensor_tr_23700_1st_23800,0.104044,0.388305,0.098501,0.377888,0.222726,0.859308,2.152268,0.080875
