dataset,VUS-PR,VUS-ROC,AUC-PR,AUC-ROC,Standard-F1,PA-F1,MSE,MAE
101_SVDB_id_18_Medical_tr_1851_1st_1951,0.230591,0.764529,0.163299,0.679749,0.218527,0.821440,1.278612,0.669067
085_SVDB_id_2_Medical_tr_50000_1st_54982,0.080113,0.753669,0.057939,0.666392,0.116999,0.699416,0.338032,0.259610
114_SVDB_id_31_Medical_tr_25000_1st_63090,0.015939,0.716950,0.013520,0.680157,0.043543,0.877317,0.089895,0.184086
099_SVDB_id_16_Medical_tr_1115_1st_1215,0.248088,0.810320,0.166546,0.739528,0.263780,0.504537,1.596238,0.691718
107_SVDB_id_24_Medical_tr_32805_1st_32905,0.195842,0.856825,0.114112,0.760204,0.201168,0.724016,0.186514,0.243530
105_SVDB_id_22_Medical_tr_500_1st_417,0.429219,0.843121,0.270140,0.734432,0.351628,0.822576,0.854711,0.580863
112_SVDB_id_29_Medical_tr_8226_1st_8326,0.018842,0.635862,0.013894,0.551067,0.030809,0.712809,0.731006,0.482877
019_MITDB_id_1_Medical_tr_37500_1st_103211,0.430277,0.852957,0.433532,0.851839,0.455351,1.000000,0.246080,0.213353
171_SWaT_id_1_Sensor_tr_3749_1st_9522,0.340192,0.809414,0.261910,0.763775,0.401884,0.233908,6038.027097,1.610623
090_SVDB_id_7_Medical_tr_12157_1st_12257,0.232378,0.781962,0.189372,0.713613,0.250387,0.966149,0.114482,0.154703
113_SVDB_id_30_Medical_tr_4552_1st_4652,0.173284,0.749378,0.167994,0.752169,0.270093,0.829871,0.683629,0.440443
110_SVDB_id_27_Medical_tr_30824_1st_30924,0.128122,0.855095,0.090877,0.784722,0.200434,0.759928,0.108103,0.167014
089_SVDB_id_6_Medical_tr_50000_1st_83083,0.037589,0.821938,0.033017,0.795955,0.075053,0.743938,0.239785,0.255202
092_SVDB_id_9_Medical_tr_2674_1st_2774,0.704537,0.949168,0.678578,0.922432,0.713792,0.871799,0.774845,0.481487
116_TAO_id_1_Environment_tr_500_1st_3,0.824523,0.930127,0.049628,0.503119,0.094568,0.094429,0.101455,0.245745
127_TAO_id_12_Environment_tr_500_1st_24,0.817869,0.933717,0.046775,0.479241,0.092710,0.092609,0.055170,0.177701
030_MITDB_id_12_Medical_tr_50000_1st_84572,0.076537,0.693837,0.055919,0.602457,0.119933,0.612145,0.230665,0.213736
086_SVDB_id_3_Medical_tr_533_1st_633,0.190823,0.747259,0.124966,0.643956,0.206984,0.674285,0.972749,0.597010
109_SVDB_id_26_Medical_tr_1038_1st_1138,0.176169,0.656057,0.127482,0.549325,0.199526,0.619328,0.871837,0.593735
087_SVDB_id_4_Medical_tr_5421_1st_5521,0.174685,0.784922,0.116366,0.684051,0.207273,0.892971,0.294745,0.286301
091_SVDB_id_8_Medical_tr_500_1st_126,0.354343,0.833963,0.303247,0.777252,0.359444,0.779642,0.581841,0.415116
118_TAO_id_3_Environment_tr_500_1st_7,0.303469,0.659279,0.050616,0.496158,0.093295,0.093384,0.131309,0.276093
097_SVDB_id_14_Medical_tr_1031_1st_1131,0.215492,0.699443,0.151411,0.587792,0.242504,0.816780,1.144562,0.644288
111_SVDB_id_28_Medical_tr_1791_1st_1891,0.246827,0.772296,0.164295,0.650239,0.276382,0.771141,0.801099,0.511183
124_TAO_id_9_Environment_tr_500_1st_1,0.835139,0.923756,0.050339,0.513879,0.098195,0.098272,0.048678,0.162722
123_TAO_id_8_Environment_tr_500_1st_62,0.841899,0.937125,0.049014,0.490473,0.093700,0.093496,0.115524,0.262348
093_SVDB_id_10_Medical_tr_500_1st_37,0.155716,0.674439,0.109918,0.570836,0.163390,0.737820,0.688015,0.530572
122_TAO_id_7_Environment_tr_500_1st_19,0.692950,0.865188,0.090012,0.478833,0.173784,0.173672,0.068713,0.210980
126_TAO_id_11_Environment_tr_500_1st_7,0.961479,0.982842,0.095480,0.489741,0.175279,0.175062,0.068413,0.201494
125_TAO_id_10_Environment_tr_500_1st_9,0.960617,0.983748,0.095941,0.502197,0.172584,0.172706,0.129532,0.277440
128_TAO_id_13_Environment_tr_500_1st_7,0.829579,0.913643,0.141859,0.498319,0.247104,0.247372,0.116930,0.257893
119_TAO_id_4_Environment_tr_500_1st_1,0.924357,0.966898,0.093532,0.488003,0.172806,0.173017,0.033144,0.143048
121_TAO_id_6_Environment_tr_500_1st_7,0.839555,0.912003,0.145556,0.506767,0.247147,0.251241,0.128880,0.291136
088_SVDB_id_5_Medical_tr_500_1st_168,0.143838,0.619794,0.108765,0.517854,0.181076,0.805305,1.108108,0.694587
117_TAO_id_2_Environment_tr_500_1st_1,0.675110,0.839530,0.136287,0.490359,0.244946,0.245718,0.081890,0.239676
120_TAO_id_5_Environment_tr_500_1st_3,0.961948,0.983769,0.095963,0.514164,0.177301,0.180149,0.066858,0.213786
172_SWaT_id_2_Sensor_tr_23700_1st_23800,0.137928,0.545780,0.136268,0.543129,0.240922,0.868350,33.061007,0.268299
