pred_len,dataset_key,family,vus_pr,vus_roc,auc_pr,auc_roc,standard_f1,pa_f1
192,SMAP_id_26,SMAP,0.0904956771778715,0.7255932667971569,0.0268928674772913,0.5843092848537493,0.1380816754518414,0.6585365853658537
96,SMAP_id_27,SMAP,0.0720395777536902,0.7389325393784734,0.0214025459175258,0.5683171176126792,0.0820704365998318,0.8994708994708994
192,SMAP_id_27,SMAP,0.0192397660774533,0.7213994046629891,0.0129616610691266,0.6456093787602709,0.0391512613667234,0.1125827814569536
96,SMAP_id_3,SMAP,0.6937748377205517,0.952571233572391,0.8014595740389433,0.9292074379125672,0.8745469877983394,0.9053803339517624
192,SMAP_id_3,SMAP,0.4742579830814192,0.8228945179016083,0.7874928196679678,0.9014565259083438,0.8073344836598689,0.9053803339517624
96,SMAP_id_4,SMAP,0.0121478088609214,0.4347614711976535,0.0102388865999769,0.378290044906912,0.0276473910061931,0.0276255707762557
192,SMAP_id_4,SMAP,0.0280604767912902,0.6763336905653325,0.0189020203766054,0.581167618517286,0.0749684141947132,0.3167539267015706
96,SMAP_id_5,SMAP,0.3016445332293849,0.94063067672727,0.0880013364820762,0.8384141548147532,0.3062465471092433,0.4781144781144781
192,SMAP_id_5,SMAP,0.0189174104540944,0.5854863008185583,0.0066466117393003,0.3289906250496835,0.0288450807973348,0.017498459642637
96,SMAP_id_6,SMAP,0.4702972362061149,0.6514366915277648,0.5368036305982526,0.6201061435679044,0.6597656937540292,0.9542600896860988
192,SMAP_id_6,SMAP,0.5752913111890149,0.7713536364575941,0.6904572936401728,0.7489511870682496,0.7801809652026569,0.9542600896860988
96,SMAP_id_7,SMAP,0.8911244001128465,0.9720455465966882,0.8112624064411587,0.9511623567415096,0.8771880281011976,1.0
192,SMAP_id_7,SMAP,0.5114284345369513,0.9624844059854804,0.4713284030426477,0.9318648723998284,0.5503138748730705,1.0
96,SMAP_id_8,SMAP,0.12538852167112,0.7256968206468044,0.0644398585564551,0.4954409747438069,0.175434483014271,0.9529411764705882
192,SMAP_id_8,SMAP,0.0670129819201297,0.6971007487052401,0.0324954455305649,0.4967367726562908,0.1360494740102853,0.905027932960894
96,SMAP_id_9,SMAP,0.953378217781378,0.9879536288888342,0.9513156256108096,0.9844643115999364,0.9678406643592724,1.0
192,SMAP_id_9,SMAP,0.2925092311674979,0.9245700416997474,0.2873483709047335,0.9208324981547926,0.4639785626197232,0.9953488372093025
96,SMD_id_1,SMD,0.1196872851423183,0.8147887862166142,0.1353516006537958,0.819837916977995,0.2354668636264931,0.4020100502512563
192,SMD_id_1,SMD,0.0999680534483694,0.7905441512485213,0.0996072538264801,0.8026838356237744,0.1819205446658067,0.399002493765586
96,SMD_id_10,SMD,0.4026707375908359,0.810128572761747,0.6791774186326416,0.8083661330820225,0.7525078213680357,0.8916619398752127
192,SMD_id_10,SMD,0.2355800600022236,0.6934008369360029,0.542963954994506,0.7123807502094631,0.6436293500422576,0.8916619398752127
96,SMD_id_11,SMD,0.0362174170644335,0.3648815985778654,0.0348885812505834,0.3482836887974354,0.0939374060451608,0.0910657977717048
192,SMD_id_11,SMD,0.0389894339583538,0.3678010887133502,0.0378688979716431,0.3602965218928815,0.0943696214521845,0.0910657977717048
96,SMD_id_12,SMD,0.1238034442072072,0.6224887155889687,0.1613754430935773,0.7838239103741419,0.2924776839142792,0.4469026548672566
192,SMD_id_12,SMD,0.0905857994906736,0.614082469940302,0.1026684869987737,0.7706547687503704,0.2423690645387052,0.3877159309021113
96,SMD_id_13,SMD,0.2029774445680705,0.7161861085838557,0.1501721859562172,0.6504395384880131,0.3040599265408817,0.633505063066264
192,SMD_id_13,SMD,0.2818676961245967,0.8244382506995908,0.221706281200758,0.7853776859954709,0.4038821564985191,0.8606100360774024
96,SMD_id_14,SMD,0.1512972761151817,0.7966270541847079,0.1275110088283063,0.788849675562843,0.2097345565744654,0.5146496815286624
192,SMD_id_14,SMD,0.1349781038273482,0.7435808116736994,0.1687966547501213,0.745881531967004,0.206617592538732,0.4107292539815591
96,SMD_id_15,SMD,0.1747886232594872,0.6621157089265044,0.2592117853680657,0.8423435538820154,0.353484307672477,0.5470459518599562
192,SMD_id_15,SMD,0.1210554151973889,0.6570994211944811,0.2153410105171942,0.8278156710505612,0.294568851842993,0.5773672055427251
96,SMD_id_16,SMD,0.6258986437552791,0.9306272063850106,0.6226357489666673,0.9574960782289847,0.7038476438687564,0.3341375150784077
192,SMD_id_16,SMD,0.5358428418400917,0.8637538899123154,0.5771406925764849,0.9487452995971052,0.7145444831819165,0.3258823529411764
96,SMD_id_17,SMD,0.0383436822274313,0.8668390845903745,0.0410231928202754,0.8498754553926968,0.0992866557721513,0.3733333333333333
192,SMD_id_17,SMD,0.0236215060037839,0.7882304065957921,0.0200348413616778,0.7694442090993815,0.0801255137327438,0.1358024691358024
96,SMD_id_18,SMD,0.483639688045713,0.9420750352522684,0.195681376972524,0.7826632880847212,0.2896502126889689,0.7306273062730627
192,SMD_id_18,SMD,0.2200996443226116,0.9304653967776816,0.0798865724596206,0.7660211491006634,0.1705833710729603,0.5
96,SMD_id_19,SMD,0.0874067454393678,0.699581149644106,0.0478693427480444,0.793231628881353,0.1175587832200771,0.6068965517241379
192,SMD_id_19,SMD,0.0746738695489288,0.6597369306718999,0.0367010977796975,0.7494016127791095,0.0954211747174981,0.0345885865958858
96,SMD_id_2,SMD,0.3255122501736984,0.8791441605841995,0.2432033811673014,0.9077889812275092,0.3597119140472766,0.6567815089402529
192,SMD_id_2,SMD,0.291115684089927,0.8493162368326099,0.2262524783897476,0.8898001983864794,0.3460397629898046,0.6004489337822672
96,SMD_id_20,SMD,0.4007021487691248,0.9851557839545756,0.480849055778148,0.9836752709970972,0.553341261275552,1.0
192,SMD_id_20,SMD,0.2330728840085311,0.9720904769328476,0.1901360245312828,0.969131685355788,0.471490876451939,0.679324894514768
96,SMD_id_21,SMD,0.2423869931979958,0.8885248305602031,0.114796412193063,0.8459229010095012,0.2262306903901433,0.1117445838084378
192,SMD_id_21,SMD,0.1917688606311244,0.8173735829343431,0.1004727697087574,0.7989051483197083,0.2333015057324277,0.1037037037037037
96,SMD_id_22,SMD,0.0882192239586756,0.5710702963821163,0.0564236973526408,0.6322729699360979,0.1651515966363799,0.0944372574385511
192,SMD_id_22,SMD,0.0783437897775463,0.5328563368137111,0.0491217459747308,0.5844398959408549,0.1484204097955645,0.0846436800194025
96,SMD_id_3,SMD,0.032362970537563,0.6199858970086988,0.0231156499158811,0.6468151486195195,0.0911658629172276,0.0398406374501992
192,SMD_id_3,SMD,0.0256429243545442,0.5576876371795466,0.0191596456124072,0.5807352563024011,0.0759601316975553,0.0296296296296296
96,SMD_id_4,SMD,0.6455551609920278,0.9850274781491896,0.5901795883592639,0.956100574965113,0.6345332838374401,0.8538812785388128
192,SMD_id_4,SMD,0.5042805988436878,0.9780788806725392,0.5789595505332589,0.9380074222383852,0.5518875698351084,0.8348993288590604
96,SMD_id_5,SMD,0.137984061619647,0.7963012110060522,0.1658831021092261,0.7947012109316699,0.2188775536748364,0.3748637849618598
192,SMD_id_5,SMD,0.1284123766814961,0.772349882528702,0.1813240751988967,0.7868877517132554,0.2129782823346931,0.3620071684587813
96,SMD_id_6,SMD,0.6138336937832568,0.9629065855641298,0.5524303764163899,0.964141146660522,0.7032442179957743,0.8820179007323027
192,SMD_id_6,SMD,0.545910566605751,0.9454965458698494,0.4966741504386205,0.9550797814824218,0.6531473875473067,0.8494117647058823
96,SMD_id_7,SMD,0.393058252403127,0.8968188704472252,0.2947501607165388,0.8497118742856622,0.5138987106220934,0.7654537483559842
